Municipio;Porcentagem de abandono - Ensino fundamental - Anos Iniciais;Porcentagem de abandono - Ensino fundamental - Anos Finais;Porcentagem de abandono - Ensino Médio
BRAGANCA PAULISTA;0;0;0
BRAUNA;0;0;0
BREJO ALEGRE;0;0;0
BRODOWSKI;0;0;0
BROTAS;0;0;0
BURI;0;0;0
BURITAMA;0;0;0
BURITIZAL;0;0;0
CABRALIA PAULISTA;0;0;0
CABREUVA;0;0;0
CACAPAVA;0;0;0
CACHOEIRA PAULISTA;0;0;0
CACONDE;0;0;0
CAFELANDIA;0;0;0
CAIABU;0;0;0
CAIEIRAS;0;0;0
CAIUA;0;0;0
CAJAMAR;0;0;0
CAJATI;0;0;0
CAJOBI;0;0;0
CAJURU;0;0;0
CAMPINA DO MONTE ALEGRE;0;0;0
CAMPINAS;0;0;0
CAMPINAS;0;0;0
CAMPO LIMPO PAULISTA;0;0;0
CAMPOS DO JORDAO;0;0;0
CAMPOS NOVOS PAULISTA;0;0;0
CANANEIA;0;0;0
CANAS;0;0;0
CANDIDO MOTA;0;0;0
CANDIDO RODRIGUES;0;0;0
CANITAR;0;0;0
CAPAO BONITO;0;0;0
CAPELA DO ALTO;0;0;0
CAPIVARI;0;0;0
CARAGUATATUBA;0;0;0
CARAPICUIBA;0;0;0
CARDOSO;0;0;0
CASA BRANCA;0;0;0
CASSIA DOS COQUEIROS;0;0;0
CASTILHO;0;0;0
CATANDUVA;0;0;0
CATIGUA;0;0;0
CEDRAL;0;0;0
CERQUEIRA CESAR;0;0;0
CERQUILHO;0;0;0
CESARIO LANGE;0;0;0
CHARQUEADA;0;0;0
CHAVANTES;0;0;0
CLEMENTINA;0;0;0
COLINA;0;0;0
COLOMBIA;0;0;0
CONCHAL;0;0;0
CONCHAS;0;0;0
CORDEIROPOLIS;0;0;0
COROADOS;0;0;0
CORONEL MACEDO;0;0;0
CORUMBATAI;0;0;0
COSMOPOLIS;0;0;0
COSMORAMA;0;0;0
COTIA;0;0;0
CRAVINHOS;0;0;0
CRISTAIS PAULISTA;0;0;0
CRUZALIA;0;0;0
CRUZEIRO;0;0;0
CUBATAO;0;0;0
CUNHA;0;0;0
DESCALVADO;0;0;0
DIADEMA;0;0;0
DIRCE REIS;0;0;0
DIVINOLANDIA;0;0;0
DOBRADA;0;0;0
DOIS CORREGOS;0;0;0
DOLCINOPOLIS;0;0;0
DOURADO;0;0;0
DRACENA;0;0;0
DUARTINA;0;0;0
DUMONT;0;0;0
ECHAPORA;0;0;0
ELDORADO;0;0;0
ELIAS FAUSTO;0;0;0
ELISIARIO;0;0;0
EMBAUBA;0;0;0
EMBU DAS ARTES;0;0;0
EMBU-GUACU;0;0;0
EMILIANOPOLIS;0;0;0
ENGENHEIRO COELHO;0;0;0
ESPIRITO SANTO DO PINHAL;0;0;0
ESPIRITO SANTO DO TURVO;0;0;0
ESTIVA GERBI;0;0;0
ESTRELA D'OESTE;0;0;0
ESTRELA DO NORTE;0;0;0
EUCLIDES DA CUNHA PAULISTA;0;0;0
FARTURA;0;0;0
FERNANDO PRESTES;0;0;0
FERNANDOPOLIS;0;0;0
FERNAO;0;0;0
FERRAZ DE VASCONCELOS;0;0;0
FLORA RICA;0;0;0
FLOREAL;0;0;0
FLORIDA PAULISTA;0;0;0
FLORÍNEA;0;0;0
FRANCA;0;0;0
FRANCISCO MORATO;0;0;0
FRANCO DA ROCHA;0;0;0
GABRIEL MONTEIRO;0;0;0
GALIA;0;0;0
GARCA;0;0;0
GASTAO VIDIGAL;0;0;0
GAVIAO PEIXOTO;0;0;0
GENERAL SALGADO;0;0;0
GETULINA;0;0;0
GLICERIO;0;0;0
GUAICARA;0;0;0
GUAIMBE;0;0;0
GUAIRA;0;0;0
GUAPIACU;0;0;0
GUAPIARA;0;0;0
GUARA;0;0;0
GUARACAI;0;0;0
GUARACI;0;0;0
GUARANI D'OESTE;0;0;0
GUARANTA;0;0;0
GUARARAPES;0;0;0
GUARAREMA;0;0;0
GUARATINGUETA;0;0;0
GUAREI;0;0;0
GUARIBA;0;0;0
GUARUJA;0;0;0
GUARULHOS;0;0;0
GUARULHOS;0;0;0
GUATAPARA;0;0;0
GUZOLANDIA;0;0;0
HERCULANDIA;0;0;0
HOLAMBRA;0;0;0
HORTOLANDIA;0;0;0
IACANGA;0;0;0
IACRI;0;0;0
IARAS;0;0;0
IBATE;0;0;0
IBIRA;0;0;0
IBIRAREMA;0;0;0
IBITINGA;0;0;0
IBIUNA;0;0;0
ICEM;0;0;0
IEPE;0;0;0
IGARACU DO TIETE;0;0;0
IGARAPAVA;0;0;0
IGARATA;0;0;0
IGUAPE;0;0;0
ILHA COMPRIDA;0;0;0
ILHA SOLTEIRA;0;0;0
ILHABELA;0;0;0
INDAIATUBA;0;0;0
INDIANA;0;0;0
INDIAPORA;0;0;0
INUBIA PAULISTA;0;0;0
IPAUSSU;0;0;0
IPERO;0;0;0
IPEUNA;0;0;0
IPIGUA;0;0;0
IPORANGA;0;0;0
IPUA;0;0;0
IRACEMAPOLIS;0;0;0
IRAPUA;0;0;0
IRAPURU;0;0;0
ITABERA;0;0;0
ITAI;0;0;0
ITAJOBI;0;0;0
ITAJU;0;0;0
ITANHAEM;0;0;0
ITAOCA;0;0;0
ITAPECERICA DA SERRA;0;0;0
ITAPETININGA;0;0;0
ITAPEVA;0;0;0
ITAPEVI;0;0;0
ITAPIRA;0;0;0
ITAPIRAPUA PAULISTA;0;0;0
ITAPOLIS;0;0;0
ITAPORANGA;0;0;0
ITAPUI;0;0;0
ITAPURA;0;0;0
ITAQUAQUECETUBA;0;0;0
ITARARE;0;0;0
ITARIRI;0;0;0
ITATIBA;0;0;0
ITATINGA;0;0;0
ITIRAPINA;0;0;0
ITIRAPUA;0;0;0
ITOBI;0;0;0
ITU;0;0;0
ITUPEVA;0;0;0
ITUVERAVA;0;0;0
JABORANDI;0;0;0
JABOTICABAL;0;0;0
JACAREI;0;0;0
JACI;0;0;0
JACUPIRANGA;0;0;0
JAGUARIUNA;0;0;0
JALES;0;0;0
JAMBEIRO;0;0;0
JANDIRA;0;0;0
JARDINOPOLIS;0;0;0
JARINU;0;0;0
JAU;0;0;0
JERIQUARA;0;0;0
JOANOPOLIS;0;0;0
JOAO RAMALHO;0;0;0
JOSE BONIFACIO;0;0;0
JULIO MESQUITA;0;0;0
JUMIRIM;0;0;0
JUNDIAI;0;0;0
JUNQUEIROPOLIS;0;0;0
JUQUIA;0;0;0
JUQUITIBA;0;0;0
LAGOINHA;0;0;0
LARANJAL PAULISTA;0;0;0
LAVINIA;0;0;0
LAVRINHAS;0;0;0
LEME;0;0;0
LENCOIS PAULISTA;0;0;0
LIMEIRA;0;0;0
LINDOIA;0;0;0
LINS;0;0;0
LORENA;0;0;0
LOURDES;0;0;0
LOUVEIRA;0;0;0
LUCELIA;0;0;0
LUCIANOPOLIS;0;0;0
LUIS ANTONIO;0;0;0
LUIZIANIA;0;0;0
LUPERCIO;0;0;0
LUTECIA;0;0;0
MACATUBA;0;0;0
MACAUBAL;0;0;0
MACEDONIA;0;0;0
MAGDA;0;0;0
MAIRINQUE;0;0;0
MAIRIPORA;0;0;0
MANDURI;0;0;0
MARABA PAULISTA;0;0;0
MARACAI;0;0;0
MARAPOAMA;0;0;0
MARIAPOLIS;0;0;0
MARILIA;0;0;0
MARINOPOLIS;0;0;0
MARTINOPOLIS;0;0;0
MATAO;0;0;0
MAUA;0;0;0
MENDONCA;0;0;0
MERIDIANO;0;0;0
MESOPOLIS;0;0;0
MIGUELOPOLIS;0;0;0
MINEIROS DO TIETE;0;0;0
MIRA ESTRELA;0;0;0
MIRACATU;0;0;0
MIRANDOPOLIS;0;0;0
MIRANTE DO PARANAPANEMA;0;0;0
MIRASSOL;0;0;0
MIRASSOLANDIA;0;0;0
MOCOCA;0;0;0
MOGI DAS CRUZES;0;0;0
MOGI GUACU;0;0;0
MOGI MIRIM;0;0;0
MOMBUCA;0;0;0
MONCOES;0;0;0
MONGAGUA;0;0;0
MONTE ALEGRE DO SUL;0;0;0
MONTE ALTO;0;0;0
MONTE APRAZIVEL;0;0;0
MONTE AZUL PAULISTA;0;0;0
MONTE CASTELO;0;0;0
MONTE MOR;0;0;0
MONTEIRO LOBATO;0;0;0
MORRO AGUDO;0;0;0
MORUNGABA;0;0;0
MOTUCA;0;0;0
MURUTINGA DO SUL;0;0;0
NANTES;0;0;0
NARANDIBA;0;0;0
NATIVIDADE DA SERRA;0;0;0
NAZARE PAULISTA;0;0;0
NEVES PAULISTA;0;0;0
NHANDEARA;0;0;0
NIPOA;0;0;0
NOVA ALIANCA;0;0;0
NOVA CAMPINA;0;0;0
NOVA CANAA PAULISTA;0;0;0
NOVA CASTILHO;0;0;0
NOVA EUROPA;0;0;0
NOVA GRANADA;0;0;0
NOVA GUATAPORANGA;0;0;0
NOVA INDEPENDENCIA;0;0;0
NOVA LUZITANIA;0;0;0
NOVA ODESSA;0;0;0
NOVAIS;0;0;0
NOVO HORIZONTE;0;0;0
NUPORANGA;0;0;0
OCAUCU;0;0;0
OLEO;0;0;0
OLIMPIA;0;0;0
ONDA VERDE;0;0;0
ORIENTE;0;0;0
ORINDIUVA;0;0;0
ORLANDIA;0;0;0
OSASCO;0;0;0
OSCAR BRESSANE;0;0;0
OSVALDO CRUZ;0;0;0
OURINHOS;0;0;0
OURO VERDE;0;0;0
OUROESTE;0;0;0
PACAEMBU;0;0;0
PALESTINA;0;0;0
PALMARES PAULISTA;0;0;0
PALMEIRA D'OESTE;0;0;0
PALMITAL;0;0;0
PANORAMA;0;0;0
PARAGUACU PAULISTA;0;0;0
PARAIBUNA;0;0;0
PARAISO;0;0;0
PARANAPANEMA;0;0;0
PARANAPUA;0;0;0
PARAPUA;0;0;0
PARDINHO;0;0;0
PARIQUERA-ACU;0;0;0
PARISI;0;0;0
PATROCINIO PAULISTA;0;0;0
PAULICEIA;0;0;0
PAULINIA;0;0;0
PAULISTANIA;0;0;0
PAULO DE FARIA;0;0;0
PEDERNEIRAS;0;0;0
PEDRA BELA;0;0;0
PEDRANOPOLIS;0;0;0
PEDREGULHO;0;0;0
PEDREIRA;0;0;0
PEDRINHAS PAULISTA;0;0;0
PEDRO DE TOLEDO;0;0;0
PENAPOLIS;0;0;0
PEREIRA BARRETO;0;0;0
PEREIRAS;0;0;0
PERUIBE;0;0;0
PIACATU;0;0;0
PIEDADE;0;0;0
PILAR DO SUL;0;0;0
PINDAMONHANGABA;0;0;0
PINDORAMA;0;0;0
PINHALZINHO;0;0;0
PIQUEROBI;0;0;0
PIQUETE;0;0;0
PIRACAIA;0;0;0
PIRACICABA;0;0;0
PIRAJU;0;0;0
PIRAJUI;0;0;0
PIRANGI;0;0;0
PIRAPORA DO BOM JESUS;0;0;0
PIRAPOZINHO;0;0;0
PIRASSUNUNGA;0;0;0
PIRATININGA;0;0;0
PITANGUEIRAS;0;0;0
PLANALTO;0;0;0
PLATINA;0;0;0
POA;0;0;0
POLONI;0;0;0
POMPEIA;0;0;0
PONGAI;0;0;0
PONTAL;0;0;0
PONTALINDA;0;0;0
PONTES GESTAL;0;0;0
POPULINA;0;0;0
PORANGABA;0;0;0
PORTO FELIZ;0;0;0
PORTO FERREIRA;0;0;0
POTIM;0;0;0
POTIRENDABA;0;0;0
PRACINHA;0;0;0
PRADOPOLIS;0;0;0
PRAIA GRANDE;0;0;0
PRATANIA;0;0;0
PRESIDENTE ALVES;0;0;0
PRESIDENTE BERNARDES;0;0;0
PRESIDENTE EPITACIO;0;0;0
PRESIDENTE PRUDENTE;0;0;0
PRESIDENTE VENCESLAU;0;0;0
PROMISSAO;0;0;0
QUADRA;0;0;0
QUATA;0;0;0
QUEIROZ;0;0;0
QUELUZ;0;0;0
QUINTANA;0;0;0
RAFARD;0;0;0
RANCHARIA;0;0;0
REDENCAO DA SERRA;0;0;0
REGENTE FEIJO;0;0;0
REGINOPOLIS;0;0;0
REGISTRO;0;0;0
RESTINGA;0;0;0
RIBEIRA;0;0;0
RIBEIRAO BONITO;0;0;0
RIBEIRAO BRANCO;0;0;0
RIBEIRAO CORRENTE;0;0;0
RIBEIRAO DO SUL;0;0;0
RIBEIRAO DOS INDIOS;0;0;0
RIBEIRAO GRANDE;0;0;0
RIBEIRAO PIRES;0;0;0
RIBEIRAO PRETO;0;0;0
RIFAINA;0;0;0
RINCAO;0;0;0
RINOPOLIS;0;0;0
RIO CLARO;0;0;0
RIO DAS PEDRAS;0;0;0
RIO GRANDE DA SERRA;0;0;0
RIOLANDIA;0;0;0
RIVERSUL;0;0;0
ROSANA;0;0;0
ROSEIRA;0;0;0
RUBIACEA;0;0;0
RUBINEIA;0;0;0
SABINO;0;0;0
SAGRES;0;0;0
SALES;0;0;0
SALES OLIVEIRA;0;0;0
SALESOPOLIS;0;0;0
SALMOURAO;0;0;0
SALTINHO;0;0;0
SALTO;0;0;0
SALTO DE PIRAPORA;0;0;0
SALTO GRANDE;0;0;0
SANDOVALINA;0;0;0
SANTA ADELIA;0;0;0
SANTA ALBERTINA;0;0;0
SANTA BARBARA D'OESTE;0;0;0
SANTA BRANCA;0;0;0
SANTA CLARA D'OESTE;0;0;0
SANTA CRUZ DA CONCEICAO;0;0;0
SANTA CRUZ DA ESPERANCA;0;0;0
SANTA CRUZ DAS PALMEIRAS;0;0;0
SANTA CRUZ DO RIO PARDO;0;0;0
SANTA ERNESTINA;0;0;0
SANTA FE DO SUL;0;0;0
SANTA GERTRUDES;0;0;0
SANTA ISABEL;0;0;0
SANTA LUCIA;0;0;0
SANTA MARIA DA SERRA;0;0;0
SANTA MERCEDES;0;0;0
SANTA RITA D'OESTE;0;0;0
SANTA RITA DO PASSA QUATRO;0;0;0
SANTA ROSA DE VITERBO;0;0;0
SANTA SALETE;0;0;0
SANTANA DA PONTE PENSA;0;0;0
SANTO ANASTACIO;0;0;0
SANTO ANDRE;0;0;0
SANTO ANTONIO DA ALEGRIA;0;0;0
SANTO ANTONIO DE POSSE;0;0;0
SANTO ANTONIO DO ARACANGUA;0;0;0
SANTO ANTONIO DO JARDIM;0;0;0
SANTO ANTONIO DO PINHAL;0;0;0
SANTO EXPEDITO;0;0;0
SANTOPOLIS DO AGUAPEI;0;0;0
SANTOS;0;0;0
SAO BENTO DO SAPUCAI;0;0;0
SAO BERNARDO DO CAMPO;0;0;0
SAO CAETANO DO SUL;0;0;0
SAO CARLOS;0;0;0
SAO FRANCISCO;0;0;0
SAO JOAO DA BOA VISTA;0;0;0
SAO JOAO DAS DUAS PONTES;0;0;0
SAO JOAO DE IRACEMA;0;0;0
SAO JOAO DO PAU D'ALHO;0;0;0
SAO JOAQUIM DA BARRA;0;0;0
SAO JOSE DA BELA VISTA;0;0;0
SAO JOSE DO BARREIRO;0;0;0
SAO JOSE DO RIO PARDO;0;0;0
SAO JOSE DO RIO PRETO;0;0;0
SAO JOSE DOS CAMPOS;0;0;0
SAO LOURENCO DA SERRA;0;0;0
SAO LUIZ DO PARAITINGA;0;0;0
SAO MANUEL;0;0;0
SAO MIGUEL ARCANJO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0
SAO PAULO;0;0;0,01
SAO PAULO;0;0;0
SAO PEDRO;0;0;0
SAO PEDRO DO TURVO;0;0;0
SAO ROQUE;0;0;0
SAO SEBASTIAO;0;0;0
SAO SEBASTIAO DA GRAMA;0;0;0
SAO SIMAO;0;0;0
SAO VICENTE;0;0;0
SARAPUI;0;0;0
SARUTAIA;0;0;0
SEBASTIANOPOLIS DO SUL;0;0;0
SERRA AZUL;0;0;0
SERRA NEGRA;0;0;0
SERRANA;0;0;0
SERTAOZINHO;0;0;0
SETE BARRAS;0;0;0
SEVERINIA;0;0;0
SILVEIRAS;0;0;0
SOCORRO;0;0;0
SOROCABA;0;0;0
SUD MENNUCCI;0;0;0
SUMARE;0;0;0
SUZANAPOLIS;0;0;0
SUZANO;0;0;0
TABAPUA;0;0;0
TABATINGA;0;0;0
TABOAO DA SERRA;0;0;0
TACIBA;0;0;0
TAGUAI;0;0;0
TAIACU;0;0;0
TAIUVA;0;0;0
TAMBAU;0;0;0
TANABI;0;0;0
TAPIRAI;0;0;0
TAPIRATIBA;0;0;0
TAQUARAL;0;0;0
TAQUARITINGA;0;0;0
TAQUARITUBA;0;0;0
TAQUARIVAI;0;0;0
TARABAI;0;0;0
TARUMA;0;0;0
TATUI;0;0;0
TAUBATE;0;0;0
TEJUPA;0;0;0
TEODORO SAMPAIO;0;0;0
TERRA ROXA;0;0;0
TIETE;0;0;0
TIMBURI;0;0;0
TORRE DE PEDRA;0;0;0
TORRINHA;0;0;0
TRABIJU;0;0;0
TREMEMBE;0;0;0
TRES FRONTEIRAS;0;0;0
TUIUTI;0;0;0
TUPA;0;0;0
TUPI PAULISTA;0;0;0
TURIUBA;0;0;0
TURMALINA;0;0;0
UBARANA;0;0;0
UBATUBA;0;0;0
UBIRAJARA;0;0;0
UCHOA;0;0;0
UNIAO PAULISTA;0;0;0
URANIA;0;0;0
URU;0;0;0
URUPES;0;0;0
VALENTIM GENTIL;0;0;0
VALINHOS;0;0;0
VALPARAISO;0;0;0
VARGEM;0;0;0
VARGEM GRANDE DO SUL;0;0;0
VARGEM GRANDE PAULISTA;0;0;0
VARZEA PAULISTA;0;0;0
VERA CRUZ;0;0;0
VINHEDO;0;0;0
VIRADOURO;0;0;0
VISTA ALEGRE DO ALTO;0;0;0
VITORIA BRASIL;0;0;0
VOTORANTIM;0;0;0
VOTUPORANGA;0;0;0
ZACARIAS;0;0;0
